MIASTO;Region;KOD POCZTOWY;NR_KIER;ULICA;PARZYSTE_OD;PARZYSTE_DO;NIEPARZYSTE_OD;NIEPARZYSTE_DO;POD;NOD
LUBLEWO GDA—SKIE;POMORSKIE;83-050;058;;;;;;     0 ;     0 
LUBLEWO L BORSKIE;POMORSKIE;84-210;058;;;;;;     0 ;     0 
LUBNIA;POMORSKIE;89-633;052;;;;;;     0 ;     0 
LUBOCHOWO;POMORSKIE;82-451;055;;;;;;     0 ;     0 
LUBOCINO;POMORSKIE;84-111;058;;;;;;     0 ;     0 
LULEMINO;POMORSKIE;76-252;059;;;;;;     0 ;     0 
LUTOM;POMORSKIE;89-642;052;;;;;;     0 ;     0 
LUZINO;POMORSKIE;84-242;058;;;;;;     0 ;     0 
£ABISZEWO;POMORSKIE;76-248;059;;;;;;     0 ;     0 
£APALICE;POMORSKIE;83-300;058;;;;;;     0 ;     0 
£APINO;POMORSKIE;83-050;058;;;;;;     0 ;     0 
£ASZKA;POMORSKIE;82-110;055;;;;;;     0 ;     0 
£•CZYNO;POMORSKIE;83-323;058;;;;;;     0 ;     0 
£•G;POMORSKIE;89-652;052;;;;;;     0 ;     0 
£•G KOLONIA;POMORSKIE;89-652;052;;;;;;     0 ;     0 
£•KIE;POMORSKIE;77-125;059;;;;;;     0 ;     0 
£EBA;POMORSKIE;84-360;058;;;;;;     0 ;     0 
£EBCZ;POMORSKIE;84-103;058;;;;;;     0 ;     0 
£EBIENIEC;POMORSKIE;84-360;058;;;;;;     0 ;     0 
£EBIE—;POMORSKIE;76-241;059;;;;;;     0 ;     0 
£EBIE—;POMORSKIE;84-350;058;;;;;;     0 ;     0 
£EBIE—SKA HUTA;POMORSKIE;84-216;058;;;;;;     0 ;     0 
£EBNO;POMORSKIE;84-216;058;;;;;;     0 ;     0 
£EBUNIA;POMORSKIE;84-311;058;;;;;;     0 ;     0 
£EBUNIA K L BORKA;POMORSKIE;84-311;058;;;;;;     0 ;     0 
£ CZYCE;POMORSKIE;84-218;058;;;;;;     0 ;     0 
£ CZYCE;POMORSKIE;84-218;058;;;;;;     0 ;     0 
£ CZYN;POMORSKIE;84-251;058;;;;;;     0 ;     0 
£ GOWO;POMORSKIE;83-031;058;;;;;;     0 ;     0 
£ KINIA;POMORSKIE;77-220;059;;;;;;     0 ;     0 
£ TOWICE;POMORSKIE;84-110;058;;;;;;     0 ;     0 
£ TOWO;POMORSKIE;84-210;058;;;;;;     0 ;     0 
£ ØYCE;POMORSKIE;84-207;058;;;;;;     0 ;     0 
£OBZOWO;POMORSKIE;77-206;059;;;;;;     0 ;     0 
£OJEWO;POMORSKIE;76-224;059;;;;;;     0 ;     0 
£OKCIOWE;POMORSKIE;76-214;059;;;;;;     0 ;     0 
£OSIENICE;POMORSKIE;83-321;058;;;;;;     0 ;     0 
£OSINO;POMORSKIE;76-252;059;;;;;;     0 ;     0 
£OZA;POMORSKIE;82-431;055;;;;;;     0 ;     0 
£OØA;POMORSKIE;77-326;059;;;;;;     0 ;     0 
£”WCZ G”RNY;POMORSKIE;84-219;058;;;;;;     0 ;     0 
£UBIANA;POMORSKIE;83-400;058;;;;;;     0 ;     0 
£UBIANA;POMORSKIE;83-407;058;;;;;;     0 ;     0 
£UBIANKA;POMORSKIE;77-320;059;;;;;;     0 ;     0 
£UBNA;POMORSKIE;89-650;052;;;;;;     0 ;     0 
£UBNO;POMORSKIE;77-142;059;;;;;;     0 ;     0 
£UBY;POMORSKIE;83-221;058;;;;;;     0 ;     0 
£UKOCIN;POMORSKIE;83-113;058;;;;;;     0 ;     0 
£UKOWO;POMORSKIE;89-650;052;;;;;;     0 ;     0 
£UPAWA;POMORSKIE;76-242;059;;;;;;     0 ;     0 
£UPAWSKO;POMORSKIE;77-122;059;;;;;;     0 ;     0 
£YSOMICE;POMORSKIE;76-248;059;;;;;;     0 ;     0 
£YåNIEWO;POMORSKIE;84-103;058;;;;;;     0 ;     0 
£YåNIEWO SIERAKOWICKIE;POMORSKIE;83-340;058;;;;;;     0 ;     0 
MACHOWINKO;POMORSKIE;76-211;059;;;;;;     0 ;     0 
MACHOWINO;POMORSKIE;76-200;059;;;;;;     0 ;     0 
MAJEWO;POMORSKIE;83-133;058;;;;;;     0 ;     0 
MALACHIN;POMORSKIE;89-650;052;;;;;;     0 ;     0 
MALARY;POMORSKIE;83-236;058;;;;;;     0 ;     0 
MALBORK;POMORSKIE;82-200;055;;;;;;     0 ;     0 
MALBORK;POMORSKIE;82-201;055;;;;;;     0 ;     0 
MALBORK;POMORSKIE;82-202;055;;;;;;     0 ;     0 
MALBORK;POMORSKIE;82-203;055;;;;;;     0 ;     0 
MALBORK;POMORSKIE;82-205;055;;;;;;     0 ;     0 
MALBORK;POMORSKIE;82-210;055;;;;;;     0 ;     0 
MALCZKOWO;POMORSKIE;76-242;059;;;;;;     0 ;     0 
MALENIEC;POMORSKIE;77-116;059;;;;;;     0 ;     0 
MALENIN;POMORSKIE;83-111;058;;;;;;     0 ;     0 
MALEWO;POMORSKIE;82-431;055;;;;;;     0 ;     0 
MAL CINO;POMORSKIE;77-222;059;;;;;;     0 ;     0 
MA£A KARCZMA;POMORSKIE;83-135;058;;;;;;     0 ;     0 
MA£A PIAåNICA;POMORSKIE;84-106;058;;;;;;     0 ;     0 
MA£A PRZYJAØ—;POMORSKIE;83-331;058;;;;;;     0 ;     0 
MA£A S£O—CA;POMORSKIE;83-120;058;;;;;;     0 ;     0 
MA£E CHE£MY;POMORSKIE;89-632;052;;;;;;     0 ;     0 
MA£E GLIåNO;POMORSKIE;89-632;052;;;;;;     0 ;     0 
MA£E GOWINO;POMORSKIE;84-215;058;;;;;;     0 ;     0 
MA£E KR”WNO;POMORSKIE;83-242;058;;;;;;     0 ;     0 
MA£E PODLESIE;POMORSKIE;83-423;058;;;;;;     0 ;     0 
MA£E SWORNEGACIE;POMORSKIE;89-608;052;;;;;;     0 ;     0 
MA£E WALICHNOWY;POMORSKIE;83-122;058;;;;;;     0 ;     0 
MA£KOWO;POMORSKIE;83-330;058;;;;;;     0 ;     0 
MA£OSZYCE;POMORSKIE;84-315;058;;;;;;     0 ;     0 
MA£Y BUKOWIEC;POMORSKIE;83-224;058;;;;;;     0 ;     0 
MA£Y GARC;POMORSKIE;83-120;058;;;;;;     0 ;     0 
MA£Y KACK;POMORSKIE;81-900;058;;;;;;     0 ;     0 
MA£Y PUC;POMORSKIE;83-403;058;;;;;;     0 ;     0 
MA£ØEWO;POMORSKIE;83-113;058;;;;;;     0 ;     0 
MAREZA;POMORSKIE;82-500;055;;;;;;     0 ;     0 
MARKOCIN;POMORSKIE;83-221;058;;;;;;     0 ;     0 
MARSZEWSKA G”RA;POMORSKIE;83-046;058;;;;;;     0 ;     0 
MART•G;POMORSKIE;82-230;055;;;;;;     0 ;     0 
MARY;POMORSKIE;82-515;055;;;;;;     0 ;     0 
MARYNOWY;POMORSKIE;82-100;055;;;;;;     0 ;     0 
MARZ CINO;POMORSKIE;82-105;055;;;;;;     0 ;     0 
MAS£OWICE;POMORSKIE;77-134;059;;;;;;     0 ;     0 
MAS£OWICZKI;POMORSKIE;77-135;059;;;;;;     0 ;     0 
MASZEWKO;POMORSKIE;84-350;058;;;;;;     0 ;     0 
MASZEWO K L BORKA;POMORSKIE;84-315;058;;;;;;     0 ;     0 
MASZEWO L BORSKIE;POMORSKIE;84-315;058;;;;;;     0 ;     0 
MATARNIA;POMORSKIE;80-900;058;;;;;;     0 ;     0 
MATULE;POMORSKIE;82-450;055;;;;;;     0 ;     0 
M•DRZECHOWO;POMORSKIE;77-100;059;;;;;;     0 ;     0 
M•TOWSKIE PASTWISKA;POMORSKIE;82-420;055;;;;;;     0 ;     0 
M•TOWY MA£E;POMORSKIE;82-213;055;;;;;;     0 ;     0 
M•TOWY WIELKIE;POMORSKIE;82-222;055;;;;;;     0 ;     0 
MECHELINKI;POMORSKIE;81-198;058;;;;;;     0 ;     0 
MECHOWO;POMORSKIE;83-424;058;;;;;;     0 ;     0 
MECHOWO;POMORSKIE;84-106;058;;;;;;     0 ;     0 
MERMET;POMORSKIE;83-241;058;;;;;;     0 ;     0 
MEZOWO;POMORSKIE;83-332;058;;;;;;     0 ;     0 
M CIKA£;POMORSKIE;89-631;052;;;;;;     0 ;     0 
MIANOWICE;POMORSKIE;76-231;059;;;;;;     0 ;     0 
MIASTKO;POMORSKIE;77-200;059;;;;;;     0 ;     0 
MIASTKO;POMORSKIE;77-201;059;;;;;;     0 ;     0 
MICHALIN;POMORSKIE;83-047;058;;;;;;     0 ;     0 
MIECHUCINO;POMORSKIE;83-334;058;;;;;;     0 ;     0 
MIELICZKI;POMORSKIE;83-220;058;;;;;;     0 ;     0 
MIELNO;POMORSKIE;77-137;059;;;;;;     0 ;     0 
MIELNO;POMORSKIE;77-233;059;;;;;;     0 ;     0 
MIEROSZYNO;POMORSKIE;84-103;058;;;;;;     0 ;     0 
MIERZESZYN;POMORSKIE;83-041;058;;;;;;     0 ;     0 
MIERZYNKO;POMORSKIE;84-250;058;;;;;;     0 ;     0 
MIERZYNO;POMORSKIE;84-250;058;;;;;;     0 ;     0 
MI DZYB”RZ;POMORSKIE;77-304;059;;;;;;     0 ;     0 
MI DZY£ Ø;POMORSKIE;83-122;058;;;;;;     0 ;     0 
MIKO£AJKI POMORSKIE;POMORSKIE;82-433;055;;;;;;     0 ;     0 
MIKOROWO;POMORSKIE;77-117;059;;;;;;     0 ;     0 
MIKOSZEWO;POMORSKIE;82-113;055;;;;;;     0 ;     0 
MILIKOWO;POMORSKIE;82-451;055;;;;;;     0 ;     0 
MILWINO;POMORSKIE;84-221;058;;;;;;     0 ;     0 
MI£OB•DZ;POMORSKIE;83-111;058;;;;;;     0 ;     0 
MI£OCICE;POMORSKIE;77-211;059;;;;;;     0 ;     0 
MI£OCICE K MIASTKA;POMORSKIE;77-211;059;;;;;;     0 ;     0 
MI£OCIN;POMORSKIE;83-020;058;;;;;;     0 ;     0 
MI£ORADZ;POMORSKIE;82-213;055;;;;;;     0 ;     0 
MI£OWO;POMORSKIE;83-041;058;;;;;;     0 ;     0 
MINI TA;POMORSKIE;82-440;055;;;;;;     0 ;     0 
MINKOWICE;POMORSKIE;84-110;058;;;;;;     0 ;     0 
MIRACHOWO;POMORSKIE;83-329;058;;;;;;     0 ;     0 
MIRADOWO;POMORSKIE;83-210;058;;;;;;     0 ;     0 
MIROTKI;POMORSKIE;83-225;058;;;;;;     0 ;     0 
MIROWICE;POMORSKIE;82-433;055;;;;;;     0 ;     0 
MIROWO DUØE;POMORSKIE;83-250;058;;;;;;     0 ;     0 
MIRYCE;POMORSKIE;83-225;058;;;;;;     0 ;     0 
MISZEWKO;POMORSKIE;80-297;058;;;;;;     0 ;     0 
MISZEWO;POMORSKIE;77-233;059;;;;;;     0 ;     0 
MISZEWO;POMORSKIE;80-297;058;;;;;;     0 ;     0 
MLECZEWO;POMORSKIE;82-432;055;;;;;;     0 ;     0 
MODRZEJEWO;POMORSKIE;77-133;059;;;;;;     0 ;     0 
MODRZEJEWO;POMORSKIE;77-137;059;;;;;;     0 ;     0 
MOJUSZEWSKA HUTA;POMORSKIE;83-334;058;;;;;;     0 ;     0 
MOKRE;POMORSKIE;89-650;052;;;;;;     0 ;     0 
MOKRY DW”R;POMORSKIE;83-021;058;;;;;;     0 ;     0 
MOKRZYN;POMORSKIE;77-100;059;;;;;;     0 ;     0 
MONASTERZYSKO NOWE;POMORSKIE;82-450;055;;;;;;     0 ;     0 
MONASTERZYSKO STARE;POMORSKIE;82-450;055;;;;;;     0 ;     0 
MONASTERZYSKO WIELKIE;POMORSKIE;82-450;055;;;;;;     0 ;     0 
MORANY;POMORSKIE;82-440;055;;;;;;     0 ;     0 
MORT•G;POMORSKIE;82-450;055;;;;;;     0 ;     0 
MORZESZCZYN;POMORSKIE;83-132;058;;;;;;     0 ;     0 
MOSINY;POMORSKIE;77-316;059;;;;;;     0 ;     0 
MOSNA;POMORSKIE;89-650;052;;;;;;     0 ;     0 
MOSTY;POMORSKIE;81-198;058;;;;;;     0 ;     0 
MOSTY;POMORSKIE;84-300;058;;;;;;     0 ;     0 
MOSZCZANKA;POMORSKIE;76-261;059;;;;;;     0 ;     0 
MOSZCZENICA;POMORSKIE;89-665;052;;;;;;     0 ;     0 
MOåCISKA;POMORSKIE;83-240;058;;;;;;     0 ;     0 
MOTARZYNO;POMORSKIE;76-244;059;;;;;;     0 ;     0 
MOØDØANOWO;POMORSKIE;76-270;059;;;;;;     0 ;     0 
MROZY;POMORSKIE;83-340;058;;;;;;     0 ;     0 
MRZEZINO;POMORSKIE;84-100;058;;;;;;     0 ;     0 
MåCISZEWICE;POMORSKIE;83-321;058;;;;;;     0 ;     0 
MYDLITA;POMORSKIE;77-123;059;;;;;;     0 ;     0 
MYSZEWKO;POMORSKIE;82-100;055;;;;;;     0 ;     0 
MYSZEWO;POMORSKIE;82-212;055;;;;;;     0 ;     0 
MYåLICE;POMORSKIE;82-451;055;;;;;;     0 ;     0 
MYåLIGOSZCZ;POMORSKIE;77-310;059;;;;;;     0 ;     0 
MZDOWO;POMORSKIE;77-215;059;;;;;;     0 ;     0 
NADOLE;POMORSKIE;84-250;058;;;;;;     0 ;     0 
NADZIEJEWO;POMORSKIE;77-330;059;;;;;;     0 ;     0 
NAKLA;POMORSKIE;77-127;059;;;;;;     0 ;     0 
NAKLA K BYTOWA;POMORSKIE;77-127;059;;;;;;     0 ;     0 
NARKOWY;POMORSKIE;83-120;058;;;;;;     0 ;     0 
NAWCZ;POMORSKIE;84-219;058;;;;;;     0 ;     0 
NEBROWO MA£E;POMORSKIE;82-526;055;;;;;;     0 ;     0 
NEBROWO WIELKIE;POMORSKIE;82-526;055;;;;;;     0 ;     0 
NICPONIA;POMORSKIE;83-140;058;;;;;;     0 ;     0 
NIDOWO;POMORSKIE;82-212;055;;;;;;     0 ;     0 
NIEB DZINO;POMORSKIE;84-349;058;;;;;;     0 ;     0 
NIECKOWO;POMORSKIE;76-230;059;;;;;;     0 ;     0 
NIEDAMOWO;POMORSKIE;83-423;058;;;;;;     0 ;     0 
NIEDARZYNO;POMORSKIE;77-141;059;;;;;;     0 ;     0 
NIEDØWIEDZICA;POMORSKIE;82-113;055;;;;;;     0 ;     0 
NIEPOCZO£OWICE;POMORSKIE;84-223;058;;;;;;     0 ;     0 
NIEPOGL DZIE;POMORSKIE;77-113;059;;;;;;     0 ;     0 
NIEROSTOWO;POMORSKIE;89-609;052;;;;;;     0 ;     0 
NIESIO£OWICE;POMORSKIE;83-320;058;;;;;;     0 ;     0 
NIEST POWO;POMORSKIE;83-331;058;;;;;;     0 ;     0 
NIESTKOWO;POMORSKIE;76-200;059;;;;;;     0 ;     0 
NIEZABYSZEWKO;POMORSKIE;77-131;059;;;;;;     0 ;     0 
NIEZABYSZEWO;POMORSKIE;77-132;059;;;;;;     0 ;     0 
NIEØYCHOWICE;POMORSKIE;89-600;052;;;;;;     0 ;     0 
NIEØYWI ∆;POMORSKIE;77-300;059;;;;;;     0 ;     0 
NIWY;POMORSKIE;89-665;052;;;;;;     0 ;     0 
NOWA;POMORSKIE;77-122;059;;;;;;     0 ;     0 
NOWA;POMORSKIE;82-200;055;;;;;;     0 ;     0 
NOWA;POMORSKIE;82-400;055;;;;;;     0 ;     0 
NOWA;POMORSKIE;89-665;052;;;;;;     0 ;     0 
NOWA BRDA;POMORSKIE;77-321;059;;;;;;     0 ;     0 
NOWA CERKIEW;POMORSKIE;82-112;055;;;;;;     0 ;     0 
NOWA CERKIEW;POMORSKIE;83-131;058;;;;;;     0 ;     0 
NOWA CERKIEW;POMORSKIE;89-641;052;;;;;;     0 ;     0 
NOWA CERKIEW K CHOJNIC;POMORSKIE;89-641;052;;;;;;     0 ;     0 
NOWA CERKIEW K MORZESZCZYNA;POMORSKIE;83-131;058;;;;;;     0 ;     0 
NOWA D•BROWA;POMORSKIE;76-241;059;;;;;;     0 ;     0 
NOWA HUTA;POMORSKIE;83-329;058;;;;;;     0 ;     0 
NOWA KARCZMA;POMORSKIE;82-120;055;;;;;;     0 ;     0 
NOWA KARCZMA;POMORSKIE;83-404;058;;;;;;     0 ;     0 
NOWA KISZEWA;POMORSKIE;83-430;058;;;;;;     0 ;     0 
NOWA KOåCIELNICA;POMORSKIE;82-112;055;;;;;;     0 ;     0 
NOWA WIEå K CZ£UCHOWA;POMORSKIE;77-321;059;;;;;;     0 ;     0 
NOWA WIEå KARTUSKA;POMORSKIE;83-323;058;;;;;;     0 ;     0 
NOWA WIEå KOåCIERSKA;POMORSKIE;83-400;058;;;;;;     0 ;     0 
NOWA WIEå L BORSKA;POMORSKIE;84-351;058;;;;;;     0 ;     0 
NOWA WIEå PRZYWIDZKA;POMORSKIE;83-047;058;;;;;;     0 ;     0 
NOWA WIEå RZECZNA;POMORSKIE;83-200;058;;;;;;     0 ;     0 
NOWA WIOSKA;POMORSKIE;82-515;055;;;;;;     0 ;     0 
NOWE ARNIKI;POMORSKIE;83-404;058;;;;;;     0 ;     0 
NOWE CZAPLE;POMORSKIE;83-324;058;;;;;;     0 ;     0 
NOWE GRONOWO;POMORSKIE;77-318;059;;;;;;     0 ;     0 
NOWE MINI TA;POMORSKIE;82-433;055;;;;;;     0 ;     0 
NOWE OB£UØE;POMORSKIE;81-900;058;;;;;;     0 ;     0 
NOWE PODLESIE;POMORSKIE;83-423;058;;;;;;     0 ;     0 
NOWE POLASZKI;POMORSKIE;83-433;058;;;;;;     0 ;     0 
NOWE PRUSY;POMORSKIE;89-651;052;;;;;;     0 ;     0 
NOWE SK”ROWO;POMORSKIE;76-230;059;;;;;;     0 ;     0 
NOW CIN;POMORSKIE;84-360;058;;;;;;     0 ;     0 
NOWIEC;POMORSKIE;82-440;055;;;;;;     0 ;     0 
NOWINKI;POMORSKIE;82-105;055;;;;;;     0 ;     0 
NOWINY;POMORSKIE;82-440;055;;;;;;     0 ;     0 
NOWY BARKOCZYN;POMORSKIE;83-422;058;;;;;;     0 ;     0 
NOWY BUKOWIEC;POMORSKIE;83-220;058;;;;;;     0 ;     0 
NOWY BUKOWIEC;POMORSKIE;83-431;058;;;;;;     0 ;     0 
NOWY DW”R;POMORSKIE;82-500;055;;;;;;     0 ;     0 
NOWY DW”R;POMORSKIE;89-665;052;;;;;;     0 ;     0 
NOWY DW”R GDA—SKI;POMORSKIE;82-100;055;;;;;;     0 ;     0 
NOWY DW”R WEJHEROWSKI;POMORSKIE;84-206;058;;;;;;     0 ;     0 
NOWY GLI—CZ;POMORSKIE;83-330;058;;;;;;     0 ;     0 
NOWY KLINCZ;POMORSKIE;83-400;058;;;;;;     0 ;     0 
NOWY PORT;POMORSKIE;80-900;058;;;;;;     0 ;     0 
NOWY STAW;POMORSKIE;82-230;055;;;;;;     0 ;     0 
NOWY åWIAT;POMORSKIE;80-297;058;;;;;;     0 ;     0 
NOWY TARG;POMORSKIE;82-410;055;;;;;;     0 ;     0 
NOWY WIEC;POMORSKIE;83-421;058;;;;;;     0 ;     0 
NOØYNKO;POMORSKIE;77-115;059;;;;;;     0 ;     0 
NOØYNO;POMORSKIE;77-115;059;;;;;;     0 ;     0 
OBJAZDA;POMORSKIE;76-211;059;;;;;;     0 ;     0 
OBJEZIERZE;POMORSKIE;77-233;059;;;;;;     0 ;     0 
OBJEZIERZE;POMORSKIE;89-661;052;;;;;;     0 ;     0 
OBKAS;POMORSKIE;89-665;052;;;;;;     0 ;     0 
OBLIWICE;POMORSKIE;84-350;058;;;;;;     0 ;     0 
OB£ ØE;POMORSKIE;77-232;059;;;;;;     0 ;     0 
OB£UØE;POMORSKIE;81-900;058;;;;;;     0 ;     0 
OBORY;POMORSKIE;82-500;055;;;;;;     0 ;     0 
OBOZIN;POMORSKIE;83-250;058;;;;;;     0 ;     0 
OBRZYNOWO;POMORSKIE;82-552;055;;;;;;     0 ;     0 
OCHODZA;POMORSKIE;77-112;059;;;;;;     0 ;     0 
OCYPEL;POMORSKIE;83-241;058;;;;;;     0 ;     0 
ODARGOWO;POMORSKIE;84-112;058;;;;;;     0 ;     0 
ODRY;POMORSKIE;89-651;052;;;;;;     0 ;     0 
OGORZELINY;POMORSKIE;89-665;052;;;;;;     0 ;     0 
OIPUCH;POMORSKIE;83-405;058;;;;;;     0 ;     0 
OKALICE;POMORSKIE;84-311;058;;;;;;     0 ;     0 
OKR•G£A £•KA;POMORSKIE;82-522;055;;;;;;     0 ;     0 
OKSYWIE;POMORSKIE;81-900;058;;;;;;     0 ;     0 
OKUNINO;POMORSKIE;77-203;059;;;;;;     0 ;     0 
OLIWA;POMORSKIE;80-900;058;;;;;;     0 ;     0 
OLPUCH;POMORSKIE;83-405;058;;;;;;     0 ;     0 
OLPUCH;POMORSKIE;83-430;058;;;;;;     0 ;     0 
OLSZANICA;POMORSKIE;82-522;055;;;;;;     0 ;     0 
OLSZANKA;POMORSKIE;83-041;058;;;;;;     0 ;     0 
OLSZANOWO;POMORSKIE;77-304;059;;;;;;     0 ;     0 
OLSZYNKA;POMORSKIE;80-900;058;;;;;;     0 ;     0 
OLSZYNY;POMORSKIE;89-631;052;;;;;;     0 ;     0 
OPALENIE;POMORSKIE;83-136;058;;;;;;     0 ;     0 
OPALINO;POMORSKIE;84-250;058;;;;;;     0 ;     0 
ORLE;POMORSKIE;83-420;058;;;;;;     0 ;     0 
ORLE;POMORSKIE;84-252;058;;;;;;     0 ;     0 
ORLIK;POMORSKIE;89-633;052;;;;;;     0 ;     0 
ORLINIEC;POMORSKIE;82-105;055;;;;;;     0 ;     0 
OR£OWO;POMORSKIE;82-100;055;;;;;;     0 ;     0 
ORUNIA;POMORSKIE;80-900;058;;;;;;     0 ;     0 
OSICE;POMORSKIE;83-022;058;;;;;;     0 ;     0 
OSIECZNA;POMORSKIE;83-242;058;;;;;;     0 ;     0 
OSIECZNA K CZERSKA;POMORSKIE;83-242;058;;;;;;     0 ;     0 
OSIEK;POMORSKIE;83-221;058;;;;;;     0 ;     0 
OSIEK;POMORSKIE;84-223;058;;;;;;     0 ;     0 
OSIEK K SK”RCZA;POMORSKIE;83-221;058;;;;;;     0 ;     0 
OSIEKI;POMORSKIE;77-141;059;;;;;;     0 ;     0 
OSIEKI;POMORSKIE;77-232;059;;;;;;     0 ;     0 
OSIEKI L BORSKIE;POMORSKIE;84-210;058;;;;;;     0 ;     0 
OSKOWO;POMORSKIE;84-312;058;;;;;;     0 ;     0 
OS£AWA D•BROWA;POMORSKIE;77-143;059;;;;;;     0 ;     0 
OS£ONINO;POMORSKIE;84-122;058;;;;;;     0 ;     0 
OS£ONKA;POMORSKIE;82-105;055;;;;;;     0 ;     0 
OSOWA;POMORSKIE;80-900;058;;;;;;     0 ;     0 
OSOWO;POMORSKIE;77-230;059;;;;;;     0 ;     0 
OSOWO;POMORSKIE;83-440;058;;;;;;     0 ;     0 
OSOWO LEåNE;POMORSKIE;83-224;058;;;;;;     0 ;     0 
OSOWO L BORSKIE;POMORSKIE;84-311;058;;;;;;     0 ;     0 
OS”WEK;POMORSKIE;83-243;058;;;;;;     0 ;     0 
OSTASZEWO;POMORSKIE;82-112;055;;;;;;     0 ;     0 
OSTASZEWO GDA—SKIE;POMORSKIE;82-112;055;;;;;;     0 ;     0 
OSTROWITE;POMORSKIE;77-136;059;;;;;;     0 ;     0 
OSTROWITE;POMORSKIE;83-022;058;;;;;;     0 ;     0 
OSTROWITE;POMORSKIE;83-230;058;;;;;;     0 ;     0 
OSTROWITE;POMORSKIE;89-650;052;;;;;;     0 ;     0 
OSTROWITE K CHOJNIC;POMORSKIE;89-662;052;;;;;;     0 ;     0 
OSTROWO;POMORSKIE;84-120;058;;;;;;     0 ;     0 
OSTR”W;POMORSKIE;83-425;058;;;;;;     0 ;     0 
OSTR”W MAUSZ;POMORSKIE;83-320;058;;;;;;     0 ;     0 
OSTRZYCE;POMORSKIE;83-311;058;;;;;;     0 ;     0 
OSUSZNICA;POMORSKIE;77-130;059;;;;;;     0 ;     0 
OåNO;POMORSKIE;82-500;055;;;;;;     0 ;     0 
OT£OWIEC;POMORSKIE;82-520;055;;;;;;     0 ;     0 
OT£”WKO;POMORSKIE;82-520;055;;;;;;     0 ;     0 
OTNOGA;POMORSKIE;77-123;059;;;;;;     0 ;     0 
OTOCZYN;POMORSKIE;82-515;055;;;;;;     0 ;     0 
OTOMIN;POMORSKIE;83-050;058;;;;;;     0 ;     0 
OTOMINO;POMORSKIE;83-330;058;;;;;;     0 ;     0 
OWCZARNIA;POMORSKIE;80-900;058;;;;;;     0 ;     0 
OWIDZ;POMORSKIE;83-211;058;;;;;;     0 ;     0 
PACZEWO;POMORSKIE;83-340;058;;;;;;     0 ;     0 
PAKOTULSKO;POMORSKIE;77-320;059;;;;;;     0 ;     0 
PALCZEWO;POMORSKIE;82-112;055;;;;;;     0 ;     0 
PA£UBICE;POMORSKIE;83-340;058;;;;;;     0 ;     0 
PA£UBIN;POMORSKIE;83-430;058;;;;;;     0 ;     0 
PA£UBINEK;POMORSKIE;83-210;058;;;;;;     0 ;     0 
PARASZYNO;POMORSKIE;84-214;058;;;;;;     0 ;     0 
PARCHOWO;POMORSKIE;77-124;059;;;;;;     0 ;     0 
PARSZCZENICA;POMORSKIE;89-609;052;;;;;;     0 ;     0 
PARSZEWO;POMORSKIE;82-224;055;;;;;;     0 ;     0 
PARSZKOWO;POMORSKIE;84-107;058;;;;;;     0 ;     0 
PARZYN;POMORSKIE;89-634;052;;;;;;     0 ;     0 
PASIEKA;POMORSKIE;77-200;059;;;;;;     0 ;     0 
PASTWA;POMORSKIE;82-531;055;;;;;;     0 ;     0 
PAWLICE;POMORSKIE;82-500;055;;;;;;     0 ;     0 
PAW£OWO;POMORSKIE;82-521;055;;;;;;     0 ;     0 
PAW£OWO;POMORSKIE;83-041;058;;;;;;     0 ;     0 
PAW£OWO;POMORSKIE;89-600;052;;;;;;     0 ;     0 
PAW£”WKO;POMORSKIE;77-320;059;;;;;;     0 ;     0 
PAW£”WKO;POMORSKIE;89-600;052;;;;;;     0 ;     0 
P•CZEWO;POMORSKIE;83-213;058;;;;;;     0 ;     0 
PELPLIN;POMORSKIE;83-130;058;;;;;;     0 ;     0 
PERLINO;POMORSKIE;84-250;058;;;;;;     0 ;     0 
P DZISZEWO;POMORSKIE;77-312;059;;;;;;     0 ;     0 
P PLINO;POMORSKIE;76-270;059;;;;;;     0 ;     0 
P POWO;POMORSKIE;83-330;058;;;;;;     0 ;     0 
PIASECKIE POLE;POMORSKIE;83-123;058;;;;;;     0 ;     0 
PIASECZNO;POMORSKIE;83-123;058;;;;;;     0 ;     0 
PIASECZNO K GNIEWA;POMORSKIE;83-123;058;;;;;;     0 ;     0 
PIASZCZYNA;POMORSKIE;77-207;059;;;;;;     0 ;     0 
PIASZNO;POMORSKIE;77-133;059;;;;;;     0 ;     0 
PIECE;POMORSKIE;83-261;058;;;;;;     0 ;     0 
PIECHOWICE;POMORSKIE;83-425;058;;;;;;     0 ;     0 
PIECKI;POMORSKIE;80-900;058;;;;;;     0 ;     0 
PIEK£O;POMORSKIE;82-415;055;;;;;;     0 ;     0 
PIENI•ØKOWO;POMORSKIE;83-230;058;;;;;;     0 ;     0 
PIENI ØNICA;POMORSKIE;77-306;059;;;;;;     0 ;     0 
PIERSZCZEWO;POMORSKIE;83-315;058;;;;;;     0 ;     0 
PIERWOSZYNO;POMORSKIE;81-198;058;;;;;;     0 ;     0 
PIERZCHOWICE;POMORSKIE;82-433;055;;;;;;     0 ;     0 
PIESIENICA;POMORSKIE;83-210;058;;;;;;     0 ;     0 
PIESKI;POMORSKIE;84-313;058;;;;;;     0 ;     0 
PIETRZWA£D;POMORSKIE;82-432;055;;;;;;     0 ;     0 
